sess,sid,act_grp,total_ms_tp000,total_ms_tp010,total_ms_tp020,total_ms_tp030,total_ms_tp040,total_ms_tp050,total_ms_tp060,total_ms_tp070,total_ms_tp080,total_ms_tp090,total_ms_tp100,mw_tp000,mw_tp010,mw_tp020,mw_tp030,mw_tp040,mw_tp050,mw_tp060,mw_tp070,mw_tp080,mw_tp090,mw_tp100,mwc_tp000,mwc_tp010,mwc_tp020,mwc_tp030,mwc_tp040,mwc_tp050,mwc_tp060,mwc_tp070,mwc_tp080,mwc_tp090,mwc_tp100,mcl_tp000,mcl_tp010,mcl_tp020,mcl_tp030,mcl_tp040,mcl_tp050,mcl_tp060,mcl_tp070,mcl_tp080,mcl_tp090,mcl_tp100,mcr_tp000,mcr_tp010,mcr_tp020,mcr_tp030,mcr_tp040,mcr_tp050,mcr_tp060,mcr_tp070,mcr_tp080,mcr_tp090,mcr_tp100,mm_tp000,mm_tp010,mm_tp020,mm_tp030,mm_tp040,mm_tp050,mm_tp060,mm_tp070,mm_tp080,mm_tp090,mm_tp100,ks_tp000,ks_tp010,ks_tp020,ks_tp030,ks_tp040,ks_tp050,ks_tp060,ks_tp070,ks_tp080,ks_tp090,ks_tp100,final_events,final_trials
1,1,Aulaweb,8000.0,78700.0,1739200.0,1832200.0,2039600.0,2203500.0,2824199.999999998,3619300.0,4170800.0,5288700.0,6574000.0,0.0,9.0,45.2,62.2,75.2,81.0,130.59999999999982,209.0,325.0,378.6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.8,803.6,816.8,945.6,1033.0,1499.5999999999985,2087.8,2642.0,3406.8,4316.0,0.0,0.0,68.0,68.0,77.2,81.0,117.9999999999999,160.0,214.0,242.4,294.0,481.0,4460.3,62864.6,65296.5,75498.0,84805.0,121254.59999999989,165296.6,200635.0,259157.8,324972.0,0.0,14.0,21.0,21.0,195.0,195.0,304.5999999999996,469.0,694.0,996.8,1184.0,2.0,2.0
1,1,Blank,8000.0,1861600.0,2157800.0,2293700.0,2960800.0,3673000.0,4017800.0,4284500.0,4748800.0,5383100.0,6566000.0,0.0,62.2,81.0,82.4,116.0,209.0,232.2,333.0,356.0,402.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,828.1,1010.2,1100.5,1658.8,2152.0,2492.8,2677.2,3114.8,3460.6,4308.0,0.0,68.0,78.0,89.4,143.2,164.0,207.2,214.0,232.0,246.0,294.0,540.0,66384.3,82194.2,91616.8,130696.0,169155.0,190938.6,206457.0,236547.8,264876.2,324427.0,0.0,21.0,195.0,195.0,323.4,545.0,633.8,694.0,937.2,1000.4,1184.0,2.0,2.0
1,1,Deeds,41000.0,908800.0,2078800.0,2646600.0,3129600.0,3716000.0,4161800.0,4543600.0,4773800.0,5338000.0,6214000.0,6.0,31.0,76.0,91.0,126.0,215.0,325.0,343.0,356.0,381.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,493.2,984.4,1427.4,1798.4,2200.0,2627.2,2907.6,3136.0,3424.4,4072.0,0.0,54.0,78.0,133.2,148.0,164.0,214.0,230.0,232.0,242.8,284.0,2121.0,35532.4,78569.8,113688.8,139524.2,173165.0,199746.8,223915.4,238704.8,261348.6,307684.0,4.0,21.0,195.0,243.0,451.4,545.0,694.0,766.2,939.6,996.0,1112.0,2.0,2.0
1,1,Diagram,882000.0,1404200.0,1547600.0,1616000.0,2640600.0000000023,3540000.0,4049600.0,4158000.0,4891200.0,5189400.0,6485000.0,31.0,31.0,31.0,31.0,88.00000000000014,126.0,252.0,325.0,367.0,367.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,650.0,732.0,766.8,1450.0000000000016,2024.0,2508.8,2606.0,3195.6,3319.2,4230.0,54.0,61.6,67.2,68.0,116.00000000000011,156.0,206.4,214.0,236.0,241.2,292.0,33816.0,50317.8,55358.6,58102.6,112656.60000000012,159010.0,192847.6,198836.0,246284.6,254488.0,319083.0,21.0,21.0,21.0,21.0,286.2000000000006,463.0,647.0,694.0,978.0,978.0,1112.0,2.0,2.0
1,1,Other,1000.0,1444000.0000000007,2068000.0,2831400.0,2927000.0,3615000.0,3758200.0,4180800.0,5385200.0,5463800.0,6566000.0,0.0,28.400000000000013,76.0,99.0,116.0,202.0,219.0,325.0,402.0,419.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.8000000000004,964.0,1550.8,1619.2,2086.0,2235.6,2655.2,3460.4,3550.0,4306.0,0.0,65.20000000000002,78.0,138.0,140.4,160.0,169.6,214.0,246.0,246.0,294.0,84.0,52422.800000000025,77422.0,122698.2,128221.2,164983.0,176411.4,201686.2,264990.8,271306.2,324371.0,0.0,21.0,195.0,255.0,285.8,469.0,545.0,694.0,1001.6,1012.0,1184.0,2.0,2.0
1,1,Properties,486000.0,1440000.0,1919800.0000000002,2735800.0,3630600.0,4157000.0,4470400.0,4595200.0,4751000.0,5306800.0,6212000.0,13.0,31.0,51.80000000000002,95.8,192.4,325.0,343.0,348.2,356.0,378.2,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,680.0,929.2000000000002,1472.0,2119.2,2602.0,2844.4,2959.2,3111.6,3404.2,4068.0,54.0,64.0,77.60000000000001,134.8,162.4,214.0,230.0,230.8,232.0,244.8,284.0,23238.0,52411.6,73412.00000000001,117627.6,167162.6,198648.0,219098.0,226594.2,236440.8,260395.0,307435.0,21.0,21.0,90.60000000000005,247.0,528.6,694.0,694.8,798.8,934.0,992.4,1112.0,2.0,2.0
1,1,Study,116000.0,1817200.0,2247400.0,2765400.0,3594400.0,3742000.0,4263600.0,4350800.0,5316400.0,5360800.0,5782000.0,13.0,61.6,81.0,98.0,199.0,219.0,328.0,343.0,381.0,381.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,840.0,1042.4,1515.2,2070.8,2222.0,2664.4,2738.4,3407.8,3442.4,3790.0,0.0,70.0,81.6,138.0,160.0,164.0,214.0,216.0,242.0,246.0,282.0,5788.0,66685.6,87147.2,119761.4,163272.6,175048.0,204904.8,211638.8,259516.6,263323.4,287436.0,14.0,55.8,195.0,255.0,465.0,545.0,694.0,694.0,996.0,996.0,1018.0,2.0,2.0
1,1,TextEditor,1874000.0,2840400.0,2961400.0,3113800.0,3599600.0,3971500.0,4538200.0,4764600.0,5267000.0,6494900.0,6564000.0,64.0,99.1,116.0,126.0,203.0,235.5,343.0,356.0,374.2,435.4,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,1558.6,1660.8,1794.4,2072.8,2456.0,2905.6,3127.6,3380.4,4246.0,4301.0,68.0,138.2,142.4,148.0,160.0,204.0,230.0,232.0,242.0,292.0,294.0,66815.0,123374.2,130743.0,139185.5,163532.6,188675.0,223579.8,237999.4,257530.2,320080.8,324087.0,21.0,256.6,325.0,451.6,466.6,636.0,760.4,936.8,993.2,1116.0,1184.0,2.0,2.0
1,2,Aulaweb,1781000.0,1792000.0,1795000.0,1806000.0,1813000.0,1813000.0,1813000.0,3293000.0,3293000.0,3821000.0,4363000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,656.0,656.0,888.0,1130.0,2.0,2.0
1,2,Blank,170000.0,623500.0,1083000.0,1433000.0,2764000.0,3340500.0,3611000.0,3674000.0,3735000.0,4141000.0,4457000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,20.0,39.0,58.0,169.0,446.0,661.0,688.0,782.0,880.0,1032.0,1176.0,2.0,2.0
